着空港,貨物量合計,旅客数合計
稚内,6077,83584
釧路,312106,360027
函館,622997,780117
旭川,987475,503714
利尻,236,28103
帯広,1242919,314556
中標津,1067,92382
紋別,479,34886
女満別,243866,384147
奥尻,1606,7774
丘珠,2339,209916
青森,368087,565737
三沢,158629,159984
花巻,12088,218053
仙台,717008,1561508
秋田,266809,577380
大館,53474,86324
山形,11,169077
庄内,164313,166481
福島,3791,103041
成田,493021,3857165
大島,8133,10809
三宅島,4293,14027
八丈島,144989,96326
調布,5291,55104
新島,11941,15493
神津島,713,11968
青ヶ島,0,2775
御蔵島,0,3756
利島,0,1048
新潟,25929,492955
富山,97191,160618
小松,489903,636941
能登,351,68951
松本,0,126792
静岡,2387,201925
中部,5827045,2942741
関西,4208072,3388877
神戸,0,1665770
但馬,9,19082
南紀白浜,5889,120411
鳥取,65269,185914
美保,239794,257915
隠岐,811,31652
出雲,139634,491587
石見,227,65571
岡山,1330590,540482
広島,2642315,1217618
山口宇部,567287,413636
岩国,54284,229524
徳島,376868,505882
高松,871411,768462
松山,808997,1299288
高知,340035,756639
北九州,747334,514727
佐賀,3349,217188
長崎,1830985,1417039
福江,25305,81564
壱岐,313,15815
対馬,29362,127738
熊本,3589836,1508529
天草,36,21605
大分,990190,878327
宮崎,1355521,1455358
鹿児島,2979745,2620289
種子島,84142,50419
屋久島,35912,98428
奄美,325747,422440
喜界島,77051,40399
沖永良部,59852,53714
与論,36973,41793
徳之島,107887,100127
南大東島,186321,23457
久米島,637604,107267
宮古島,8572424,854873
石垣,9346120,1269006
与那国,511752,55367
多良間,212542,21941
北大東島,103185,13251
波照間,0,0
粟国,0,0
下地島,0,210813
慶良間,0,0
